"PKEY","NAME","DESC","PROJECTID","PROJECTMAP","ERROR","COLLECTING","ALLOCATED","LOADSURVEY","LEADSAMPNG","CALCINPRO","HASQULIFRS","TOTSAMPLES","SAMPLECNT","OLSTSAMPID","NWSTSAMPID","CURRSAMPID","OLSTSAMPTM","NWSTSAMPTM","SMPINTTYPE","SMPDURAT","SMPINTERV","SMPOBSERV","SMPSTART","LASTSTIME","CNDCOLLECT","CNDFUNCID","CNDOPTYPE1","CNDOPPID1","CNDOPCNST1","CNDOPTYPE2","CNDOPPID2","CNDOPCNST2","CNDWRKVAL","CNDWRKTIM","DERIVEDSET","DERIVEDID","TIMCHGPTS","TIMSETVAL","MAXPOINTS","POINTLIST","REPLICATE"
"27","DELIVERY_VOLTAGE","Voltage Levels From All Deliveries","0","0","0","1","1","0","0","0","0","17544","17543","9058","9056","9057","#2022-05-31 13:15:30.000#","#2024-05-31 11:15:30.000#","0","63158400","3600","3600","#2007-05-16 04:15:30.000#","#2024-05-31 11:15:30.000#","0","0","2","","0","2","","0","0","","0","","#2020-06-02 18:12:45.215#","","46","T=HZ;9E0000006A02000055D1CD0AC2301004E0BBE05378F590343F556F9B128B502A546ADFFF4D648BDDCC1C3F864D661329C5F9EBF72117773E0DD38BD11DA8F269892220A2900A2A21F281519ECE0BA9A0ECE271A9AE13524105CA026591B24859A22C51662D2759DBA28A76E22E9B9AEBD62A2B6C6A790FDE213CC045444264446FD7AE33FC9022226C68ABF05D7AC21D71C3A68996E067E9E9595A0BDD83D6CD422A54FEAF1F","0"
"28","DUKE_MIXED_LOAD","Duke System Load every 15 seconds","0","0","0","1","1","0","0","0","0","691200","691199","563217","563215","563216","#2024-02-01 12:15:30.000#","#2024-05-31 12:15:00.000#","0","10368000","15","15","#2005-12-08 05:00:00.000#","#2024-05-31 12:15:00.000#","0","0","2","","0","2","","0","0","","0","","#2015-11-13 14:49:52.839#","","3","T=HZ;3E000000510000007309F576D5098E0C0E71F58DF7F17774B1725436E0E57201899A19C4FB7AFAC5FBFAFB8578F844C607B83A7A63CA3A870605B9FA85C4FBB806071B82A401","1"
"29","KCLT2","Duplicate of CLT, starting 8/8/2017. Per surv. support for ROC12","0","0","0","1","1","0","0","0","0","120000","59719","1","59719","59720","#2017-08-08 05:00:00.000#","#2024-05-31 12:00:00.000#","0","432000000","3600","3600","#1996-01-01 05:00:00.000#","#2024-05-31 12:00:00.000#","0","0","2","","0","2","","0","0","","0","","#2020-06-09 13:42:17.293#","","6","T=HZ;5C0000009300000065C93B0A80400C05C05EF0145A6EA196764BF244F193251B0D56DEFF16223682ED8C23DA080DB4D8458BEC4C7240FB583565E19F63789269B3FF18D6048DB62BFEE9D3C63901FC563E731D389E323830BFA6426D1766BF48D6F4D00D","0"
"31","PMPA_15SEC_WLOSS_LOAD","PMPA Load Samples - 15 Seconds","0","0","0","1","1","0","0","0","0","691200","691199","620881","620879","620880","#2024-02-01 12:15:30.000#","#2024-05-31 12:15:00.000#","0","10368000","15","15","#2014-01-13 05:00:00.000#","#2024-05-31 12:15:00.000#","0","0","2","","0","2","","0","0","","0","","#2015-01-08 05:25:05.106#","#2022-07-28 16:25:39.858#","1","SYS$,PMPA_MW_COMP_WLOSS:A#0","1"
"32","LOAD_FORECASTS","Created per suvalent support","0","0","0","0","1","0","0","0","0","744","744","218","217","732","#2020-10-09 09:00:00.000#","#2020-11-10 16:00:00.000#","0","2678400","3600","3600","#2020-09-30 04:00:00.000#","#2020-11-10 16:00:00.000#","0","0","1","","0","1","","0","0","","0","","#2020-09-30 16:40:51.456#","","1","ROC12,LOAD_FORECAST:A#0","0"
"33","LOAD_FORECASTS2","Created Per Survalent Support","0","0","0","1","1","0","1","0","1","2160","2159","933","931","932","#2024-03-02 13:00:00.000#","#2024-05-31 11:00:00.000#","0","7776000","3600","900","#2016-10-06 04:00:00.000#","#2024-05-31 12:00:00.000#","0","0","2","","0","2","","0","0","","0","","#2020-11-09 21:54:26.210#","","70","T=HZ;3A010000C10600007D944D6E84300C85F7957A8A6E67C15F40EACE09198A861014C2A059E5FEB7681916C5B193EDF3F7EC27D909485994B7C71E9435CB377C89CF0FB84A41AF7E34E07598EDAEC1FF6897A3CE9A9AC6B8299218BCA27895C035AC71772431784DF13A833740F97F8D3348C6203306417991C15B8AB7097C807B5146F9B1C619246348E53F8A15E553EB1A9C2EAA3810D238431C08698CA16626D474427CC509EC526482D4B920F1ED608D33301392B77314053341E426086682C84D68299F3CB7BF5AC704EA72813A2650970A34C116BF5F243178BC03AC7106C9185281B6F9F8CADA2298710E8F27B8AB8CDA2089E9D250BCC9E02DC5536BD935F9239144F0F79BB80DEB12D464B75ED9E7FB8914B8D6EB7DB1E3ECA9CB6BB368077E73FAB439ABCAE897405294E0AC4D16FA70B74E2B587DCE14FACD98D741FC02","0"
"34","DUKE_MIXED_LOAD_MIN","Monitor Duke System Load every minute","0","0","0","1","1","0","0","0","1","172800","172799","27738","27736","27737","#2024-02-01 12:17:00.000#","#2024-05-31 12:15:00.000#","0","10368000","60","15","#2007-12-08 05:00:00.000#","#2024-05-31 12:15:00.000#","0","0","2","","0","2","","0","0","","1","DUKE_MIXED_LOAD","","","3","T=HZ;41000000510000007309F576D5098E0C0E71F58DF7F17774B1725436E5E57201899A19C4FB7AFAC5FBFAFB8578F844C607B83A7A03650D50659D4383825CFD42E27D5C83830D41D200","1"
"35","LOAD_FORECASTS3","Created per suvalent support","0","0","0","0","1","0","0","0","0","2160","2160","879","878","2159","#2024-02-27 18:00:00.000#","#2024-06-01 04:00:00.000#","0","7776000","3600","900","#2020-09-30 04:00:00.000#","#2024-06-01 04:00:00.000#","0","0","1","","0","1","","0","0","","0","","#2020-11-09 21:55:45.281#","","1","ROC12,LOAD_FORECAST:A#0","0"
"36","SURPLUS","Hourly and Monthly Surplus","0","0","0","1","1","0","0","0","0","18000","17999","12905","12903","12904","#2022-05-12 14:01:00.000#","#2024-05-31 12:01:00.000#","0","64800000","3600","3600","#2020-11-20 22:01:00.000#","#2024-05-31 12:01:00.000#","0","0","2","","0","2","","0","0","","0","","#2022-10-11 18:51:08.481#","","8","T=HZ;55000000300100000B0E0D0AF0090DD6710E0D0A8AF7F5F70BF1880F76F40B71758D0F86C858392A1BF07241393A0141AE619EFEA1C1A42B7509F5C6A110C96ADC8AD04C0B71758C77F20E0EF173C16916914A821D7D5C09DB05570500","0"
"37","PMPA_RH_5MIN","5-min interval readings for PMPA and Rock Hill system loads","0","0","0","1","1","0","1","0","0","131040","131039","85714","85712","85713","#2023-03-03 12:15:11.000#","#2024-05-31 12:05:11.000#","0","39312000","300","300","#2005-12-08 05:00:10.999#","#2024-05-31 12:10:11.000#","0","0","2","","0","2","","0","0","","0","","#2014-10-27 15:12:03.168#","","2","T=HZ;280000002C0000000B8E0C56D109F00D708CF70E8F77F6F70D880FF7F10F0EB6725436E0E50A064906F93B03E5400200","1"
"38","GAF01B_15SEC","Gaffney 01B primary and check measured at 15 second intervals","0","0","0","0","1","0","0","0","0","518400","518399","437466","437464","437465","#2023-09-13 17:55:15.000#","#2023-12-12 17:54:45.000#","0","7776000","15","15","#2006-02-01 05:00:00.000#","#2023-12-12 17:54:45.000#","0","0","2","","0","2","","0","0","","0","","","","2","T=HZ;220000002E000000737774333074D271F6F08EF70E8F77F6F70DB0725436E0E5728788070479228B0300","1"
"39","PMPA_Load_Nuclear_Generation","60-minute PMPA Load and Nuclear Generation","0","0","0","1","1","0","0","0","1","2160","2159","1954","1952","1953","#2024-03-02 14:00:05.000#","#2024-05-31 12:00:05.000#","0","7776000","3600","15","#2009-11-25 05:00:05.000#","#2024-05-31 12:00:05.000#","0","0","2","","0","2","","0","0","","0","","","","2","T=HZ;2F000000320000007309F576D571F6758D77F50BF10CF171F505D2F1DEE1568ECAA6BC5CC191C12A3A01BE018E409178677FDF00903000","0"
"40","SPC_RH_60MIN","60-min average (from 5-min readings) of PMPA and Rock Hill syste","0","0","0","1","1","0","1","0","1","10920","10919","9106","9104","9105","#2023-03-03 13:00:11.000#","#2024-05-31 11:00:11.000#","0","39312000","3600","300","#2005-12-08 05:00:11.000#","#2024-05-31 12:00:11.000#","0","0","2","","0","2","","0","0","","1","PMPA_RH_5MIN","#2014-10-27 15:13:23.711#","","2","T=HZ;280000002C0000000B8E0C56D109F00D708CF70E8F77F6F70D880FF7F10F0EB6725436E5E50A064906F93B03E5400200","1"
"41","FORECAST_COMPARE","Compare Forecast with Actual Data","0","0","0","1","1","0","0","0","1","720","719","682","680","681","#2024-05-01 14:01:15.000#","#2024-05-31 12:01:15.000#","0","2592000","3600","60","#2010-02-16 05:01:15.000#","#2024-05-31 12:01:15.000#","0","0","2","","0","2","","0","0","","0","","#2020-10-23 19:18:37.942#","","18","T=HZ;7B000000C901000075D0C10A83300CC6F1FBC0A7D8D5439CCEC36EA14429535B6A478F7DFFB798181943BF5EFFC98F40CC64A9A97DB0F99DB271B37FF1FD59DDCC9E8F94658D76E6283A135E11D18CC9C8033DAE44738104A19681D18ED1C41FEA003A3A468B246AAF463326C19906BC407391500FC996CB577EEFD9129DD2FF3A7D01","0"
"42","ROC_CAPACITY_LOAD","1 Hour generation and load points","0","0","0","1","1","0","0","0","1","720","719","106","104","105","#2024-05-01 14:00:00.000#","#2024-05-31 12:00:00.000#","0","2592000","3600","15","#2010-03-12 05:00:00.000#","#2024-05-31 12:00:00.000#","0","0","2","","0","2","","0","0","","0","","#2010-06-17 17:44:39.051#","","5","T=HZ;530000007D0000000B8E0C56D109F2778E77F675B5725436E5E50A868904BB0638A2097987C73BFBFB06C4877B8678C4FBF80707BB0623A908F00D704428014903250D8092FEA1211EAE417E3AC101CE405D8E2EF1BE8E11202900","1"
"43","DEL_POINTS_60MIN_KW_KVAR","All Delivery Points integrated over 1 hour using 15 second inter","0","0","0","1","1","0","0","0","1","2160","2159","307","305","306","#2024-03-02 14:00:00.000#","#2024-05-31 12:00:00.000#","0","7776000","3600","15","#2006-02-01 03:59:59.999#","#2024-05-31 12:00:00.000#","0","0","2","","0","2","","0","0","","0","","#2014-10-03 03:18:10.849#","","20","T=HZ;5C0000009E0100006DCC210A80401040D12E780AAB61756736D866440C22CA068DDEFF1606115CFCF5F379E61EBA7639AF715BF7C11AAD2B7BD261F913E73C85DECAF16D703A9C4E670433A219C18C680A9882A68029682A988AA682A968A6FF98CAEF06","0"
"44","PMPA Load Forecast","Load Forecast for the PMPA Load","0","0","0","0","1","0","0","0","0","4320","4320","2516","2515","4320","#2023-12-04 05:00:00.000#","#2024-06-01 10:00:00.000#","0","15552000","3600","30","#2012-01-11 05:00:00.000#","#2024-06-01 10:00:00.000#","0","0","2","","0","2","","0","0","","0","","#2019-06-07 16:11:05.519#","","26","T=HZ;8C000000E80300008DD13D0A02311445E15E70155AA6C88DFFD38571443021C3440953BDFDEF421C44B03BEDBBE7555F9DEBD68D798C969BF5258FD652A9D56E651AFA589F5DDCF8F5AA0DD5CB3DBEC5FFB63CDFCB6B4AB3A512AFBFD97D8EE63DCBC4B2C0B21DCBF62C3BB0ECC8B213CBCE2CBBA04C4C414C414C414C414C414C414C414C414C414C213085C0140253088BC21B","0"
"45","DELIVERY_POINTS_5MIN","All Delivery Points measured at 5 minute intervals","0","0","0","1","1","0","0","0","1","216000","215999","954","952","953","#2022-05-12 12:25:00.000#","#2024-05-31 12:15:00.000#","0","64800000","300","15","#2012-02-01 05:00:00.000#","#2024-05-31 12:15:00.000#","0","0","2","","0","2","","0","0","","1","DELIVERY_POINTS_15SEC","#2020-06-02 18:12:10.446#","","47","T=HZ;B4000000910300006DD23D0EC2300C05E01D8953B032244DD3029B53850A515A545465E4FEB70077CBF35B3FD94EFC2329397F7E96EFB0BCDE3739C5E361981E8C9A9AB27C304A29586A8558B2166B1AE5EEBC104BD6E06FE39A5D83A96A98FAB740E20289C32E76237191C44512D7D534C986B353C25777836A732E3800A560A9AD695D06EF2C79432411B7A5D459EAE1FFDB6C6E4BA9B504C54A36E7A6F5AF962EB66F9CFF6E644F3DD91376A0976A1BF564019D104B644695FD00","1"
"46","PMPA_60MIN_LOAD_MW_WLOSS","PMPA Hourly Load with transmission losses in MW","0","0","0","1","1","0","0","0","0","24000","23999","21347","21345","21346","#2021-09-04 14:00:30.000#","#2024-05-31 12:00:30.000#","0","86400000","3600","3600","#2013-10-07 04:00:30.000#","#2024-05-31 12:00:30.000#","0","0","2","","0","2","","0","0","","0","","#2023-07-06 15:32:19.091#","#2023-07-07 14:26:19.941#","3","T=HZ;48000000600000000B8E0C56D109F00D708CF7710C0EF108720C738FF70D8F77F6F70D880FF7F10F0EB6725436E0E50A862B730E0D0A0A720C71F6700D81488145035C1DBD83754072AE7E21F148F200","1"
"47","15SEC_DS_SIGNALS","15 Second DS1, DS2, and DS3 Signals from Santee and Duke Echos","0","0","0","1","1","0","0","0","0","1036800","1036799","65103","65101","65102","#2023-12-03 12:15:30.000#","#2024-05-31 12:15:00.000#","0","15552000","15","15","#2014-01-13 05:00:00.000#","#2024-05-31 12:15:00.000#","0","0","2","","0","2","","0","0","","0","","#2022-12-07 16:55:57.208#","","17","T=HZ;AD000000190200008D90CD0E82301084EF263E851E3928E8C5DBDA6E80D0D2A6DB423CEDFBBF851430B1F213CFDFECCCCE10B41E31937465124C75D9827AC0E9723CD087E49BA4D824B7489E0D799970199A9F2C46519904E67BB0D8838BD0A5E4CE565B60D9B0EED3CF83B32A50E6115804E7B0F54CA090521C1157263886AEE468CA33DAD34DB3AC2BADC3EE1FC754B7EA388D3F1624B4F0555C68E4A151ED15EAD84CF7F3C98BCED3C1308730DA72AF0C8D7E6F","1"
"48","60MIN_DS_SCHEDULES","60-Min Integrated DS1/DS2/DS3 Signals from Santee/Duke Echos","0","0","0","1","1","0","0","0","0","17520","17519","3394","3392","3393","#2022-06-01 14:01:00.000#","#2024-05-31 12:01:00.000#","0","63072000","3600","3600","#2014-01-13 05:01:00.000#","#2024-05-31 12:01:00.000#","0","0","2","","0","2","","0","0","","0","","#2022-12-07 16:44:34.756#","","11","T=HZ;7A000000690100000B76F40B7175D57109368C0F7606220F5797501FD77857670F7F2B4765035EAE60980223420A8C092930012970F20E0E71C1A6CC25D41B9F3BA0D2B85C0195C6E506A834512E3085CB41DD1F19ACA213E2EA181F101AE4ECE118EC1A1CEF1C1A14E4EA1712EFE11F1A84A637C037C031DEC53BDE37DC03C51C00","1"
"49","bkstand","","0","0","0","0","1","0","0","0","0","57600","57599","31884","31882","31883","#2023-12-02 17:50:45.000#","#2023-12-12 17:50:15.000#","0","864000","15","15","#2021-01-01 05:00:00.000#","#2023-12-12 17:50:15.000#","0","0","1","","0","1","","0","0","","0","","#2022-10-13 15:50:01.619#","","6","T=HZ;67000000CA000000758D310E83400C04FB48BC22295350A7737C960EC59093D72EA8FCFF5F9020909048EA999DC58CDBDD85B285712508125CA584CA83AE7D77C159E03093C9B3BEC3FE4A7B257D18054E633BA84CCAA1E452F249FCFAE0A96C38AC69608DED3F2015FC5E6FFA172E","0"
"50","KCAE2","Weather and Load History for NEW 5 & 6","0","0","0","1","1","0","0","0","0","120000","61675","1","61675","61676","#2017-05-18 20:00:00.000#","#2024-05-31 12:00:00.000#","0","432000000","3600","3600","#1996-01-01 05:00:00.000#","#2024-05-31 12:00:00.000#","0","0","2","","0","2","","0","0","","0","","#2021-05-24 16:59:20.367#","","9","T=HZ;64000000D00000006DCBB10E40301446E15DE229183B58186C57EF2F04BD4D5B6E4CDEFF2D0C1652EBF972149426046309975D65672B07424F555316FA32867A995DCA2561F30894F6801C75761C3DC00FC533D686E9945181E5690EDAB46416BDAC6CFED586BC757FEDF3DE","0"
"51","Surplus_n_Backstand","Records monthly accumulation of surplus and backstand energy","0","0","0","1","1","0","0","0","0","133","27","1","27","28","#2022-03-01 16:30:00.000#","#2024-05-01 15:30:00.000#","1","345600000","2678400","43200","#2022-03-01 16:30:00.000#","#2024-05-01 15:30:00.000#","0","0","1","","0","1","","0","0","","0","","#2022-03-01 15:54:35.188#","","3","T=HZ;3D000000790000000B0E0D0AF0090DD60908720DF3F40F0D8EF7F5F70BF1880F76F40B71758D0F86C85A392A1BF072056357EA12EA4D9CC21057C77827EFE0103F17903200","0"
"52","GENERATORS & LC","Hourly Data for LSG Generators and LC Del.","0","0","0","1","1","0","0","0","1","26280","12143","1","12143","12144","#1601-01-01 01:00:00.000#","#2024-05-31 12:00:00.000#","0","94608000","3600","15","#2023-01-11 05:00:00.000#","#2024-05-31 12:00:00.000#","0","0","1","","0","1","","0","0","","0","","#2024-01-29 20:50:07.424#","","16","T=HZ;730000006701000073770A088F7771D57177098E0F7075F40EF6700C737577F58BF70EB7725436E5E572872A080F0930C42668844D303EC43FC4D10721E30C91090E88071A6D8843DC08433C1C87FA7034F5CEFE411E60714F1F1767C7100CF53ECE9866F83863DAE7E36C8C45CC048B98291631332C62E6503100","0"
"53","KOHLER_GENERATOR","PMPA Backup Generator Status","0","0","0","1","1","0","0","0","1","525600","525599","356178","356176","356177","#2023-06-01 12:17:00.000#","#2024-05-31 12:15:00.000#","0","31536000","60","15","#2022-09-27 04:00:00.000#","#2024-05-31 12:15:00.000#","0","0","1","","0","1","","0","0","","0","","#2022-09-27 13:01:22.228#","","6","T=HZ;41000000AA000000F3F6F7F0710D8A7777F5D309368C0FF00FF60CF1F4F7B30A5636E5E5F2469233C22D17E21A1C121F1CE218121A8C21E7E3EFE8128F4F0110E3940AF27441920300","0"
"54","KAGS Test","Test Import for KAGS","0","0","0","1","1","0","0","0","0","720","719","154","152","153","#2024-05-01 14:00:00.000#","#2024-05-31 12:00:00.000#","0","2592000","3600","3600","#2022-12-02 05:00:00.000#","#2024-05-31 12:00:00.000#","0","0","1","","0","1","","0","0","","0","","#2022-12-02 16:20:31.005#","","5","T=HZ;510000007F0000000B77750CF1700DD271740F8E77F6F10F7571F60F730DB2725436E0E50A479273710D0FF0F7F40BC1940971F50D700D720C090D72C5940CF7F473090E7075758148393A391918EA7887C73BFBFB06808400","0"
"55","ENERGY_AUDITS","Used for auditing energy to reconcile 3rd Party Invoices","0","0","0","1","1","0","1","0","1","24000","12944","1","12944","12945","#2022-12-09 04:00:00.000#","#2024-05-31 11:00:00.000#","0","86400000","3600","15","#2022-12-09 05:00:00.000#","#2024-05-31 12:00:00.000#","0","0","1","","0","1","","0","0","","0","","#2023-12-18 15:03:10.538#","","21","T=HZ;DB0000008A0200009590C16AC3301044EF857E457BF4A14DF125B7CD6A8942245B68B50939EDFFFF45645B761C0B420302C1BE9166668D9CA931FCAB8CF95832E248096DBF87AFF6F3C34C78F71AFFBDC6EDC25663F459D9A55372E4F3AD0E38D90897A3FAEB2463E81251137C00650A50A61283136E1281A2C438BC6570C4351EC71A225DD446CD5F17C98DBF471E24A2055E34BD6C55A3F73A9962EF835E5DCFC58F3A8AC79B8298537A449D4D274DF66A0E80674ED09931F4539E675CC51D70693517AE415DB25EDECF3FD26E35EFE1796D080EC54122A34BB1E9F51697FC03BC03","1"
"56","Litchain","Litchain Historica Data","0","0","0","0","1","0","0","0","1","70080","32979","1","32979","32980","#2023-01-03 05:00:00.000#","#2023-12-12 17:30:00.000#","0","63072000","900","15","#2023-01-03 05:00:00.000#","#2023-12-12 17:30:00.000#","0","0","1","","0","1","","0","0","","0","","#2023-01-03 15:24:39.239#","","2","T=HZ;310000004900000073770A088F7771D5090E758D8A373230890F0E750A0972F40B76F20E8A373572B40A5636E5E572C7A7CA3BDCCA51D91400","0"
"57","TEA_API","Minute by Minute Data for TEA API Values","0","0","0","1","1","0","0","0","1","86400","86399","78258","78256","78257","#2024-04-01 12:17:00.000#","#2024-05-31 12:15:00.000#","0","5184000","60","15","#2023-04-13 04:00:00.000#","#2024-05-31 12:15:00.000#","0","0","1","","0","1","","0","0","","0","","#2023-04-13 12:40:36.567#","","2","T=HZ;29000000320000000B7175D4717274F60E0E71F47389770E0D0A72F50BB1725436E5E50A014A05870605F88406234B0000","0"
"58","TEA 15SEC","TEA API Information w/CUR & PREV Hr Averages","0","0","0","1","1","0","0","0","0","28800","28799","7743","7741","7742","#2024-05-26 12:15:30.000#","#2024-05-31 12:15:00.000#","0","432000","15","15","#2023-10-03 04:00:00.000#","#2024-05-31 12:15:00.000#","0","0","1","","0","1","","0","0","","0","","#2023-10-03 16:11:56.090#","","6","T=HZ;3F000000AA0000000B7175D4717274F60E0E71F47389770E0D0A72F50BB1725436E0E50AC1908AF7088A770C73C7261D10E41A86211D1C1A14E0131A8C692CB2044E5D68460200","0"
